Pertanyaan,Jawaban
"Siapa KARYA WARANI?","KARYA WARANI adalah vendor dengan status Registered, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Kalimantan Selatan S. Kode SBU: BS010."
"Apa status rekanan KARYA WARANI?","KARYA WARANI memiliki status rekanan Registered."
"Apa bidang usaha KARYA WARANI?","KARYA WARANI bergerak di bidang Sub Kontraktor Kecil dan Menengah."
"Dimana lokasi KARYA WARANI?","KARYA WARANI berlokasi di Kalimantan Selatan S."
"Cari vendor KARYA WARANI","KARYA WARANI adalah vendor dengan status Registered, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Kalimantan Selatan S. Kode SBU: BS010."
"Berikan informasi lengkap tentang KARYA WARANI","KARYA WARANI adalah vendor dengan status Registered, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Kalimantan Selatan S. Kode SBU: BS010."
"Siapa BENTENG PERKASA TEKNIK?","BENTENG PERKASA TEKNIK adalah vendor dengan status Registered, di bidang Supplier Menengah, berlokasi di Riau Riau. Kode SBU: BG002."
"Apa status rekanan BENTENG PERKASA TEKNIK?","BENTENG PERKASA TEKNIK memiliki status rekanan Registered."
"Apa bidang usaha BENTENG PERKASA TEKNIK?","BENTENG PERKASA TEKNIK bergerak di bidang Supplier Menengah."
"Dimana lokasi BENTENG PERKASA TEKNIK?","BENTENG PERKASA TEKNIK berlokasi di Riau Riau."
"Cari vendor BENTENG PERKASA TEKNIK","BENTENG PERKASA TEKNIK adalah vendor dengan status Registered, di bidang Supplier Menengah, berlokasi di Riau Riau. Kode SBU: BG002."
"Berikan informasi lengkap tentang BENTENG PERKASA TEKNIK","BENTENG PERKASA TEKNIK adalah vendor dengan status Registered, di bidang Supplier Menengah, berlokasi di Riau Riau. Kode SBU: BG002."
"Siapa Syailendra Primatama Sejahtera?","Syailendra Primatama Sejahtera adalah vendor dengan status Registered, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Riau Riau. Kode SBU: AL004."
"Apa status rekanan Syailendra Primatama Sejahtera?","Syailendra Primatama Sejahtera memiliki status rekanan Registered."
"Apa bidang usaha Syailendra Primatama Sejahtera?","Syailendra Primatama Sejahtera bergerak di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)."
"Dimana lokasi Syailendra Primatama Sejahtera?","Syailendra Primatama Sejahtera berlokasi di Riau Riau."
"Cari vendor Syailendra Primatama Sejahtera","Syailendra Primatama Sejahtera adalah vendor dengan status Registered, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Riau Riau. Kode SBU: AL004."
"Berikan informasi lengkap tentang Syailendra Primatama Sejahtera","Syailendra Primatama Sejahtera adalah vendor dengan status Registered, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Riau Riau. Kode SBU: AL004."
"Siapa MAHIDARA ARTHA SANGKARA?","MAHIDARA ARTHA SANGKARA adalah vendor dengan status Unverified, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Barat West Java. Industry: ELECTRICAL & CABLE POWER , SUPPLIER ;. Kode SBU: BS010."
"Apa status rekanan MAHIDARA ARTHA SANGKARA?","MAHIDARA ARTHA SANGKARA memiliki status rekanan Unverified."
"Apa bidang usaha MAHIDARA ARTHA SANGKARA?","MAHIDARA ARTHA SANGKARA bergerak di bidang Sub Kontraktor Kecil dan Menengah."
"Dimana lokasi MAHIDARA ARTHA SANGKARA?","MAHIDARA ARTHA SANGKARA berlokasi di Jawa Barat West Java."
"Apa industry key MAHIDARA ARTHA SANGKARA?","MAHIDARA ARTHA SANGKARA memiliki industry key: ELECTRICAL & CABLE POWER , SUPPLIER ;."
"Cari vendor MAHIDARA ARTHA SANGKARA","MAHIDARA ARTHA SANGKARA adalah vendor dengan status Unverified, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Barat West Java. Industry: ELECTRICAL & CABLE POWER , SUPPLIER ;. Kode SBU: BS010."
"Berikan informasi lengkap tentang MAHIDARA ARTHA SANGKARA","MAHIDARA ARTHA SANGKARA adalah vendor dengan status Unverified, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Barat West Java. Industry: ELECTRICAL & CABLE POWER , SUPPLIER ;. Kode SBU: BS010."
"Siapa PURI GANESHA ENGINEERING?","PURI GANESHA ENGINEERING adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah,, berlokasi di Jawa Tengah Central. Status CQSMS: Supplier : 40 Low Risk (Version 3), Sub Kontraktor : 89 High Risk (Version 3). Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;. Kode SBU: RK001."
"Apa status rekanan PURI GANESHA ENGINEERING?","PURI GANESHA ENGINEERING memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha PURI GANESHA ENGINEERING?","PURI GANESHA ENGINEERING bergerak di bidang Supplier Menengah,."
"Dimana lokasi PURI GANESHA ENGINEERING?","PURI GANESHA ENGINEERING berlokasi di Jawa Tengah Central."
"Apa status CQSMS PURI GANESHA ENGINEERING?","PURI GANESHA ENGINEERING memiliki status CQSMS: Supplier : 40 Low Risk (Version 3), Sub Kontraktor : 89 High Risk (Version 3)."
"Apa industry key PURI GANESHA ENGINEERING?","PURI GANESHA ENGINEERING memiliki industry key: ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;."
"Cari vendor PURI GANESHA ENGINEERING","PURI GANESHA ENGINEERING adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah,, berlokasi di Jawa Tengah Central. Status CQSMS: Supplier : 40 Low Risk (Version 3), Sub Kontraktor : 89 High Risk (Version 3). Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;. Kode SBU: RK001."
"Berikan informasi lengkap tentang PURI GANESHA ENGINEERING","PURI GANESHA ENGINEERING adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah,, berlokasi di Jawa Tengah Central. Status CQSMS: Supplier : 40 Low Risk (Version 3), Sub Kontraktor : 89 High Risk (Version 3). Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;. Kode SBU: RK001."
"Siapa AMYTHAS?","AMYTHAS adalah vendor dengan status Unverified, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Industry: UNKNOWN-DATA COMPLETE. Kode SBU: AL003."
"Apa status rekanan AMYTHAS?","AMYTHAS memiliki status rekanan Unverified."
"Apa bidang usaha AMYTHAS?","AMYTHAS bergerak di bidang Sub Kontraktor Kecil dan Menengah."
"Dimana lokasi AMYTHAS?","AMYTHAS berlokasi di DKI Jakarta Jakarta."
"Apa industry key AMYTHAS?","AMYTHAS memiliki industry key: UNKNOWN-DATA COMPLETE."
"Cari vendor AMYTHAS","AMYTHAS adalah vendor dengan status Unverified, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Industry: UNKNOWN-DATA COMPLETE. Kode SBU: AL003."
"Berikan informasi lengkap tentang AMYTHAS","AMYTHAS adalah vendor dengan status Unverified, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Industry: UNKNOWN-DATA COMPLETE. Kode SBU: AL003."
"Siapa PT HEXA PRIMA PERKASA?","PT HEXA PRIMA PERKASA adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 83 High Risk (Version 3). Industry: ELEKTRIKAL, SUBKON ;. Kode SBU: BS002."
"Apa status rekanan PT HEXA PRIMA PERKASA?","PT HEXA PRIMA PERKASA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha PT HEXA PRIMA PERKASA?","PT HEXA PRIMA PERKASA bergerak di bidang Sub Kontraktor Kecil dan Menengah."
"Dimana lokasi PT HEXA PRIMA PERKASA?","PT HEXA PRIMA PERKASA berlokasi di DKI Jakarta Jakarta."
"Apa status CQSMS PT HEXA PRIMA PERKASA?","PT HEXA PRIMA PERKASA memiliki status CQSMS: Sub Kontraktor : 83 High Risk (Version 3)."
"Apa industry key PT HEXA PRIMA PERKASA?","PT HEXA PRIMA PERKASA memiliki industry key: ELEKTRIKAL, SUBKON ;."
"Cari vendor PT HEXA PRIMA PERKASA","PT HEXA PRIMA PERKASA adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 83 High Risk (Version 3). Industry: ELEKTRIKAL, SUBKON ;. Kode SBU: BS002."
"Berikan informasi lengkap tentang PT HEXA PRIMA PERKASA","PT HEXA PRIMA PERKASA adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 83 High Risk (Version 3). Industry: ELEKTRIKAL, SUBKON ;. Kode SBU: BS002."
"Siapa ERTIGA MAJU BERSAMA?","ERTIGA MAJU BERSAMA adalah vendor dengan status Rekanan Terdaftar, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta Jakarta. Industry: TRAINING / PELATIHAN & SERTIFIKASI. Kode SBU: BS004."
"Apa status rekanan ERTIGA MAJU BERSAMA?","ERTIGA MAJU BERSAMA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha ERTIGA MAJU BERSAMA?","ERTIGA MAJU BERSAMA bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi."
"Dimana lokasi ERTIGA MAJU BERSAMA?","ERTIGA MAJU BERSAMA berlokasi di DKI Jakarta Jakarta."
"Apa industry key ERTIGA MAJU BERSAMA?","ERTIGA MAJU BERSAMA memiliki industry key: TRAINING / PELATIHAN & SERTIFIKASI."
"Cari vendor ERTIGA MAJU BERSAMA","ERTIGA MAJU BERSAMA adalah vendor dengan status Rekanan Terdaftar, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta Jakarta. Industry: TRAINING / PELATIHAN & SERTIFIKASI. Kode SBU: BS004."
"Berikan informasi lengkap tentang ERTIGA MAJU BERSAMA","ERTIGA MAJU BERSAMA adalah vendor dengan status Rekanan Terdaftar, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta Jakarta. Industry: TRAINING / PELATIHAN & SERTIFIKASI. Kode SBU: BS004."
"Siapa PT Cahaya Teknindo Majumandiri?","PT Cahaya Teknindo Majumandiri adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di Jawa Barat West Java. Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER. Kode SBU: IN001."
"Apa status rekanan PT Cahaya Teknindo Majumandiri?","PT Cahaya Teknindo Majumandiri memiliki status rekanan Unverified."
"Apa bidang usaha PT Cahaya Teknindo Majumandiri?","PT Cahaya Teknindo Majumandiri bergerak di bidang Supplier Menengah."
"Dimana lokasi PT Cahaya Teknindo Majumandiri?","PT Cahaya Teknindo Majumandiri berlokasi di Jawa Barat West Java."
"Apa industry key PT Cahaya Teknindo Majumandiri?","PT Cahaya Teknindo Majumandiri memiliki industry key: ALAT & MATERIAL BANTU PROYEK, SUPPLIER."
"Cari vendor PT Cahaya Teknindo Majumandiri","PT Cahaya Teknindo Majumandiri adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di Jawa Barat West Java. Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER. Kode SBU: IN001."
"Berikan informasi lengkap tentang PT Cahaya Teknindo Majumandiri","PT Cahaya Teknindo Majumandiri adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di Jawa Barat West Java. Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER. Kode SBU: IN001."
"Siapa PT.DOSROHA INDAH?","PT.DOSROHA INDAH adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: BS004."
"Apa status rekanan PT.DOSROHA INDAH?","PT.DOSROHA INDAH memiliki status rekanan Unverified."
"Apa bidang usaha PT.DOSROHA INDAH?","PT.DOSROHA INDAH bergerak di bidang Supplier Menengah."
"Dimana lokasi PT.DOSROHA INDAH?","PT.DOSROHA INDAH berlokasi di DKI Jakarta Jakarta."
"Cari vendor PT.DOSROHA INDAH","PT.DOSROHA INDAH adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: BS004."
"Berikan informasi lengkap tentang PT.DOSROHA INDAH","PT.DOSROHA INDAH adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: BS004."
"Siapa PT INFRATEKNO SARANA JAYA?","PT INFRATEKNO SARANA JAYA adalah vendor dengan status Rekanan Terdaftar, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 44 Low Risk (Version 3). Industry: PEST CONTROL, SUBKON. Kode SBU: BS001."
"Apa status rekanan PT INFRATEKNO SARANA JAYA?","PT INFRATEKNO SARANA JAYA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha PT INFRATEKNO SARANA JAYA?","PT INFRATEKNO SARANA JAYA bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi."
"Dimana lokasi PT INFRATEKNO SARANA JAYA?","PT INFRATEKNO SARANA JAYA berlokasi di DKI Jakarta Jakarta."
"Apa status CQSMS PT INFRATEKNO SARANA JAYA?","PT INFRATEKNO SARANA JAYA memiliki status CQSMS: Sub Kontraktor : 44 Low Risk (Version 3)."
"Apa industry key PT INFRATEKNO SARANA JAYA?","PT INFRATEKNO SARANA JAYA memiliki industry key: PEST CONTROL, SUBKON."
"Cari vendor PT INFRATEKNO SARANA JAYA","PT INFRATEKNO SARANA JAYA adalah vendor dengan status Rekanan Terdaftar, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 44 Low Risk (Version 3). Industry: PEST CONTROL, SUBKON. Kode SBU: BS001."
"Berikan informasi lengkap tentang PT INFRATEKNO SARANA JAYA","PT INFRATEKNO SARANA JAYA adalah vendor dengan status Rekanan Terdaftar, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 44 Low Risk (Version 3). Industry: PEST CONTROL, SUBKON. Kode SBU: BS001."
"Siapa PRASTIMIARSO?","PRASTIMIARSO adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Besar, berlokasi di Kalimantan Timur Eas. Status CQSMS: Supplier : 39 Low Risk (Version 3). Industry: ELECTRICAL PANELS ( HV , MV , LV ), SUPPLIER ;. Kode SBU: BG009."
"Apa status rekanan PRASTIMIARSO?","PRASTIMIARSO memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha PRASTIMIARSO?","PRASTIMIARSO bergerak di bidang Supplier Besar."
"Dimana lokasi PRASTIMIARSO?","PRASTIMIARSO berlokasi di Kalimantan Timur Eas."
"Apa status CQSMS PRASTIMIARSO?","PRASTIMIARSO memiliki status CQSMS: Supplier : 39 Low Risk (Version 3)."
"Apa industry key PRASTIMIARSO?","PRASTIMIARSO memiliki industry key: ELECTRICAL PANELS ( HV , MV , LV ), SUPPLIER ;."
"Cari vendor PRASTIMIARSO","PRASTIMIARSO adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Besar, berlokasi di Kalimantan Timur Eas. Status CQSMS: Supplier : 39 Low Risk (Version 3). Industry: ELECTRICAL PANELS ( HV , MV , LV ), SUPPLIER ;. Kode SBU: BG009."
