Pertanyaan,Jawaban
"Siapa KARYA WARANI?","KARYA WARANI adalah vendor dengan status Registered, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Kalimantan Selatan. Kode SBU: BS010."
"Bagaimana status rekanan KARYA WARANI?","KARYA WARANI memiliki status rekanan Registered."
"Apa bidang usaha KARYA WARANI?","KARYA WARANI bergerak di bidang Sub Kontraktor Kecil dan Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi KARYA WARANI?","KARYA WARANI berlokasi di Kalimantan Selatan."
"Apa kualifikasi perusahaan untuk KARYA WARANI?","Kualifikasi perusahaan KARYA WARANI adalah PT."
"Siapa BENTENG PERKASA TEKNIK?","BENTENG PERKASA TEKNIK adalah vendor dengan status Registered, kualifikasi PT, di bidang Supplier Menengah, berlokasi di Riau. Kode SBU: BG002."
"Bagaimana status rekanan BENTENG PERKASA TEKNIK?","BENTENG PERKASA TEKNIK memiliki status rekanan Registered."
"Apa bidang usaha BENTENG PERKASA TEKNIK?","BENTENG PERKASA TEKNIK bergerak di bidang Supplier Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi BENTENG PERKASA TEKNIK?","BENTENG PERKASA TEKNIK berlokasi di Riau."
"Apa kualifikasi perusahaan untuk BENTENG PERKASA TEKNIK?","Kualifikasi perusahaan BENTENG PERKASA TEKNIK adalah PT."
"Siapa Syailendra Primatama Sejahtera?","Syailendra Primatama Sejahtera adalah vendor dengan status Registered, kualifikasi CV, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Riau. Kode SBU: AL004."
"Bagaimana status rekanan Syailendra Primatama Sejahtera?","Syailendra Primatama Sejahtera memiliki status rekanan Registered."
"Apa bidang usaha Syailendra Primatama Sejahtera?","Syailendra Primatama Sejahtera bergerak di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi) (Tidak diketahui)."
"Dimana lokasi atau provinsi Syailendra Primatama Sejahtera?","Syailendra Primatama Sejahtera berlokasi di Riau."
"Apa kualifikasi perusahaan untuk Syailendra Primatama Sejahtera?","Kualifikasi perusahaan Syailendra Primatama Sejahtera adalah CV."
"Siapa MAHIDARA ARTHA SANGKARA?","MAHIDARA ARTHA SANGKARA adalah vendor dengan status Unverified, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Barat. Kode SBU: BS010."
"Bagaimana status rekanan MAHIDARA ARTHA SANGKARA?","MAHIDARA ARTHA SANGKARA memiliki status rekanan Unverified."
"Apa bidang usaha MAHIDARA ARTHA SANGKARA?","MAHIDARA ARTHA SANGKARA bergerak di bidang Sub Kontraktor Kecil dan Menengah (ELECTRICAL & CABLE POWER , SUPPLIER ;)."
"Dimana lokasi atau provinsi MAHIDARA ARTHA SANGKARA?","MAHIDARA ARTHA SANGKARA berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk MAHIDARA ARTHA SANGKARA?","Kualifikasi perusahaan MAHIDARA ARTHA SANGKARA adalah PT."
"Siapa PURI GANESHA ENGINEERING?","PURI GANESHA ENGINEERING adalah vendor dengan status Rekanan Terdaftar, kualifikasi CV, di bidang Supplier Menengah,, berlokasi di Jawa Tengah. Kode SBU: RK001."
"Bagaimana status rekanan PURI GANESHA ENGINEERING?","PURI GANESHA ENGINEERING memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha PURI GANESHA ENGINEERING?","PURI GANESHA ENGINEERING bergerak di bidang Supplier Menengah, (ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;)."
"Dimana lokasi atau provinsi PURI GANESHA ENGINEERING?","PURI GANESHA ENGINEERING berlokasi di Jawa Tengah."
"Apa kualifikasi perusahaan untuk PURI GANESHA ENGINEERING?","Kualifikasi perusahaan PURI GANESHA ENGINEERING adalah CV."
"Siapa AMYTHAS?","AMYTHAS adalah vendor dengan status Unverified, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta. Kode SBU: AL003."
"Bagaimana status rekanan AMYTHAS?","AMYTHAS memiliki status rekanan Unverified."
"Apa bidang usaha AMYTHAS?","AMYTHAS bergerak di bidang Sub Kontraktor Kecil dan Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi AMYTHAS?","AMYTHAS berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk AMYTHAS?","Kualifikasi perusahaan AMYTHAS adalah PT."
"Siapa PT HEXA PRIMA PERKASA?","PT HEXA PRIMA PERKASA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta. Kode SBU: BS002."
"Bagaimana status rekanan PT HEXA PRIMA PERKASA?","PT HEXA PRIMA PERKASA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha PT HEXA PRIMA PERKASA?","PT HEXA PRIMA PERKASA bergerak di bidang Sub Kontraktor Kecil dan Menengah (ELEKTRIKAL, SUBKON ;)."
"Dimana lokasi atau provinsi PT HEXA PRIMA PERKASA?","PT HEXA PRIMA PERKASA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk PT HEXA PRIMA PERKASA?","Kualifikasi perusahaan PT HEXA PRIMA PERKASA adalah PT."
"Siapa ERTIGA MAJU BERSAMA?","ERTIGA MAJU BERSAMA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta. Kode SBU: BS004."
"Bagaimana status rekanan ERTIGA MAJU BERSAMA?","ERTIGA MAJU BERSAMA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha ERTIGA MAJU BERSAMA?","ERTIGA MAJU BERSAMA bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (TRAINING / PELATIHAN & SERTIFIKASI)."
"Dimana lokasi atau provinsi ERTIGA MAJU BERSAMA?","ERTIGA MAJU BERSAMA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk ERTIGA MAJU BERSAMA?","Kualifikasi perusahaan ERTIGA MAJU BERSAMA adalah PT."
"Siapa PT Cahaya Teknindo Majumandiri?","PT Cahaya Teknindo Majumandiri adalah vendor dengan status Unverified, kualifikasi CV, di bidang Supplier Menengah, berlokasi di Jawa Barat. Kode SBU: IN001."
"Bagaimana status rekanan PT Cahaya Teknindo Majumandiri?","PT Cahaya Teknindo Majumandiri memiliki status rekanan Unverified."
"Apa bidang usaha PT Cahaya Teknindo Majumandiri?","PT Cahaya Teknindo Majumandiri bergerak di bidang Supplier Menengah (ALAT & MATERIAL BANTU PROYEK, SUPPLIER)."
"Dimana lokasi atau provinsi PT Cahaya Teknindo Majumandiri?","PT Cahaya Teknindo Majumandiri berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk PT Cahaya Teknindo Majumandiri?","Kualifikasi perusahaan PT Cahaya Teknindo Majumandiri adalah CV."
"Siapa PT.DOSROHA INDAH?","PT.DOSROHA INDAH adalah vendor dengan status Unverified, kualifikasi PT, di bidang Supplier Menengah, berlokasi di DKI Jakarta. Kode SBU: BS004."
"Bagaimana status rekanan PT.DOSROHA INDAH?","PT.DOSROHA INDAH memiliki status rekanan Unverified."
"Apa bidang usaha PT.DOSROHA INDAH?","PT.DOSROHA INDAH bergerak di bidang Supplier Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi PT.DOSROHA INDAH?","PT.DOSROHA INDAH berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk PT.DOSROHA INDAH?","Kualifikasi perusahaan PT.DOSROHA INDAH adalah PT."
"Siapa PT INFRATEKNO SARANA JAYA?","PT INFRATEKNO SARANA JAYA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta. Kode SBU: BS001."
"Bagaimana status rekanan PT INFRATEKNO SARANA JAYA?","PT INFRATEKNO SARANA JAYA memiliki status rekanan Rekanan Terdaftar."
